smiles,aureus_logMIC,subtilis_logMIC
O=[N+](C1=CC=C(N2CCN(C(CN3N=NC(COC4=C5C=CC=CC5=CC=C4)=C3)=O)CC2)C=C1)[O-],1.637089274,1.637089274
O=[N+]([O-])C1=CC=C(/C=N/N2C(=S)NN=C2C2=CC=CC=C2)C=C1,2.989894564,
COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5,2.818225894,
N#CC1=CC=C(/C=C/C(N2C3=CC=CC(OCC4=CN(CC5=CC=CC=C5)N=N4)=C3)=NC6=C(C=CC=C6)C2=O)C=C1,-0.301029996,
O=C(C1=CC=C([N+]([O-])=O)C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,1.397940009,
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=CC=C4)NC2=O,2.175308825,2.47633882
O=C1SC2=CC(Br)=CC=C2N1CC3=CN(C4=CC=C(Br)C=C4)N=N3,1.698970004,
O=[N+](C1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1)[O-],2.0,
O=C(NCC[NH3+])C(N=N1)=CN1C2=CC=C(OCCCCCCC)C=C2,0.602059991,
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=C(Cl)C=C4Cl)OC2=O,2.095361166,
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(C4=NNC=C4)N=N3,2.278753601,2.491361694
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC=C(OC)C=C4,2.77815125,2.301029996
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC(O)=C4)=NN=C3C5=CC=CC6=CC=CC=C65,2.10720997,
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=C(C=C5)OC)=C3)=NC6=C(C2=O)C=CC=C6,0.602059991,
O=C1C=C(CN2N=NC(C3=CC=C(CCCCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,2.408239965,
OC(C=C1)=CC=C1CN(N=N2)C=C2CN3C4=CC=CC=C4SC5=C3C=CC=C5,1.698970004,
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,1.400017906,1.400017906
N#CC1=CC=C(/C=C/C(N2C3=CC=CC(OCC4=CN(CC5=CC(Br)=CC=C5)N=N4)=C3)=NC6=C(C=CC=C6)C2=O)C=C1,-0.301029996,
NC1=NC(OCC2=CN(C3=NNC4=NC(C(F)(F)F)=CC=C43)N=N2)=CC(C(F)(F)F)=N1,1.193124598,
SC1=NN=C(N1/N=C/C2=CC=C(OC)C(OC)=C2)C3=NC=CN=C3,1.096910013,
CN(C1=C(SC2=C3)C=CC=C1)C2=CC=C3COC4=CN(N=N4)CC5=CC=C(C=C5)C,1.698970004,
