step,mean_reward,valid_rate
1121,0.466070,0.820312
1122,0.458528,0.867188
1123,0.465617,0.906250
1124,0.467303,0.867188
1125,0.461016,0.906250
1126,0.464399,0.875000
1127,0.464754,0.906250
1128,0.464927,0.898438
1129,0.462649,0.890625
1130,0.462928,0.867188
1131,0.464805,0.867188
1132,0.464144,0.921875
1133,0.462924,0.875000
1134,0.462755,0.906250
1135,0.463682,0.843750
1136,0.464631,0.882812
1137,0.467174,0.875000
1138,0.465361,0.882812
1139,0.465790,0.812500
1140,0.465824,0.835938
1141,0.463666,0.867188
1142,0.462799,0.882812
1143,0.467993,0.882812
1144,0.464418,0.828125
1145,0.466332,0.851562
1146,0.465030,0.890625
1147,0.462862,0.851562
